GUID,Start Day and Time,End Day and Time,Header,Title,Description,
1,5/11/2015 6:00,5/11/2015 7:30,,Registration and continental breakfast,,
2,5/11/2015 7:30,5/11/2015 7:45,,Welcome,,
3,5/11/2015 7:45,5/11/2015 8:30,"What is success? Is there a measure? Moderator: Sugantha Sundar, MD",What is a poor outcome after surgery and anesthesia?,"Paul Myles MB.BS, MPH, MD, FCARCSI, FANZCA, FRCA",
4,5/11/2015 8:30,5/11/2015 9:15,"What is success? Is there a measure? Moderator: Sugantha Sundar, MD",The physiology behind exercise: How to improve longevity,"James DiNardo, MD",
5,5/11/2015 9:15,5/11/2015 9:30,"What is success? Is there a measure? Moderator: Sugantha Sundar, MD",Q&A,,
6,5/11/2015 9:30,5/11/2015 9:45,"What is success? Is there a measure? Moderator: Sugantha Sundar, MD",Break,,
7,5/11/2015 9:45,5/11/2015 10:30,"From bench to bedside: Making it happen Moderator: Keira P. Mason, MD",TBA,"Hugh C. Hemmings, MD, PhD",
8,5/11/2015 10:30,5/11/2015 11:00,"From bench to bedside: Making it happen Moderator: Keira P. Mason, MD",Cerebral autoregulation in children,"Sulpico Soriano, MD",
9,5/11/2015 11:00,5/11/2015 11:45,"From bench to bedside: Making it happen Moderator: Keira P. Mason, MD",TBA,"Hugh C. Hemmings, MD, PhD",
10,5/11/2015 11:45,5/11/2015 12:15,"From bench to bedside: Making it happen Moderator: Keira P. Mason, MD",Fact versus fiction - Controversies in pediatric anesthesia,"Thomas Mancuso, MD",
11,5/11/2015 12:15,5/11/2015 12:30,"From bench to bedside: Making it happen Moderator: Keira P. Mason, MD",Q&A,,
12,5/11/2015 12:30,5/11/2015 14:00,"From bench to bedside: Making it happen Moderator: Keira P. Mason, MD",Lunch,"Avoiding malpractice suits Paul McTague, Esq; Apology and disclosure after an adverse event May Pian - Smith, MD, MS; Do stats lie? Statistics for the operating room clinician David A.Edwards, MD, PhD; PACU complications and catastrophes Eswar Sundar, MD; Richard Blum, MD, MSE, FAAP",
13,5/11/2015 14:00,5/11/2015 14:30,"Evidence based obstetric anesthesia practice Moderator: Philip Hess, MD",Pregnancy-related pulmonary embolus: A practical primer,Lawrence C.Tsen MD,
14,5/11/2015 14:30,5/11/2015 15:00,"Evidence based obstetric anesthesia practice Moderator: Philip Hess, MD",Multiple sclerosis and neurologic disease in pregnancy,"Philip Hess, MD",
15,5/11/2015 15:00,5/11/2015 15:30,"Evidence based obstetric anesthesia practice Moderator: Philip Hess, MD",Current concepts in obstetric anesthesia: The year in review,Lisa R. Leffert. MD,
16,5/11/2015 15:30,5/11/2015 16:00,"Evidence based obstetric anesthesia practice Moderator: Philip Hess, MD",Transfusion strategies for obstetric hemorrhage,"Michaela K.Farber, MD, MS",
17,5/11/2015 16:00,5/11/2015 16:15,"Evidence based obstetric anesthesia practice Moderator: Philip Hess, MD",Q&A,,
18,5/11/2015 16:15,5/11/2015 16:30,"Evidence based obstetric anesthesia practice Moderator: Philip Hess, MD",Break,,
19,5/11/2015 16:30,5/11/2015 17:00,"Achieving excellence in pain management Moderator:Meredith Albrecht, MD, PhD",Epidural steroid injections - What is their role in 2015?,"Chris Gilligan, MD, MBA",
20,5/11/2015 17:00,5/11/2015 17:30,"Achieving excellence in pain management Moderator:Meredith Albrecht, MD, PhD",The link between acute and chronic pain,"James P.Rathmell, MD",
21,5/11/2015 17:30,5/11/2015 17:50,"Achieving excellence in pain management Moderator:Meredith Albrecht, MD, PhD",Recent advances in pediatric pain management,Navil Sethna M.B;CH.B REVIEW,
22,5/11/2015 17:50,5/11/2015 18:00,"Achieving excellence in pain management Moderator:Meredith Albrecht, MD, PhD",Q&A,,
23,5/11/2015 18:00,5/11/2015 19:30,"Achieving excellence in pain management Moderator:Meredith Albrecht, MD, PhD",Reception,,
24,5/12/2015 7:30,5/12/2015 7:50,"The cardiothoracic anesthesia panel Moderator: Meredith Albrecht, MD, PhD",Current status- Transcatheter aortic valve replacement,Sugantha Sundar, MD
